Species,Body_Temp_C,Body_mass_g,Basal_Met_Rate_W,Air_temp_C
Abrothrix andinus,37.7,34.6,0.361,
Microtus montanus,35.3,35.1,0.465,6.0
Gerbillus andersoni,36.3,35.3,0.217,16.0
Phyllostomus elongatus,,35.6,0.216,23.5
Dipodomys merriami,37.0,36.5,0.237,16.2
Diaemus youngi,31.1,36.6,0.208,22.9
Cynopterus brachyotis,36.5,37.4,0.265,19.0
Steatomys pratensis,34.1,37.54,0.105,22.3
Alticola argentatus,,37.7,0.675,0.8
Dipodomys nitratoides,,37.8,0.257,14.3
Graphiurus murinus,,38.43,0.225,21.2
Gerbillurus vallinus,37.4,38.8,0.194,18.0
Crocidura olivieri,35.3,38.9,0.326,23.4
Microtus pennsylvanicus,38.5,38.9,0.419,0.1
Macroscelides proboscideus,36.2,39,0.292,15.2
Tamias alpinus,,39,0.322,3.8
Chaetodipus hispidus,36.8,39.5,0.276,14.8
Rhabdomys pumilio,37.0,39.6,0.179,18.8
Mesocricetus brandti,36.2,40.2,0.414,8.6
Lasiopodomys brandtii,,40.2,0.428,-1.8
Apodemus mystacinus,35.5,40.4,0.312,9.0
Nyctimene cyclotis,36.0,40.4,0.360,17.8
Mastomys natalensis,38.0,41.49,0.183,20.3
Acomys cahirinus,37.5,42,0.258,23.3
Abrothrix longipilis,37.4,42.3,0.321,
Pseudantechinus macdonnellensis,34.2,43.1,0.152,23.2
Liomys salvani,37.0,43.8,0.262,18.9
Microtus guentheri,38.3,43.8,0.447,10.3
Microgale talazaci,31.2,44,0.243,18.9
Chrysochloris asiatica,34.0,44,0.287,14.7
Microtus californicus,38.8,44,0.380,10.1
Burramys parvus,36.1,44.3,0.205,9.9
Microgale dobsoni,30.9,44.6,0.315,18.9
Artibeus jamaicensis,36.4,45.2,0.428,22.4
Elephantulus brachyrhynchus,37.5,45.3,0.244,21.3
Elephantulus rozeti,37.1,45.31,0.267,15.6
Tamias minimus,37.0,45.8,0.406,0.7
Gerbillurus setzeri,37.6,46.1,0.206,11.2
Elephantulus intufi,37.2,46.49,0.290,19.1
Antechinus flavipes,35.0,46.5,0.252,15.5
Microtus ochrogaster,37.9,46.7,0.441,8.3
Dipodomys ordii,34.6,46.8,0.358,11.1
Lemniscomys griselda,36.9,47.5,0.321,21.1
Peromyscus californicus,36.4,47.6,0.292,10.8
Scalopus aquaticus,36.0,48,0.378,13.6
Liomys irroratus,37.0,48.1,0.301,18.1
Condylura cristata,37.7,49,0.615,3.4
Elephantulus edwardii,37.6,50,0.304,14.2
Calomys callosus,,50.1,0.395,21.7
Calomys venustus,37.1,50.1,0.403,
Lemmus sibiricus,38.3,50.2,0.503,-9.4
Lemniscomys rosalia,36.5,50.53,0.343,20.6
Eonycteris spelaea,34.0,51.6,0.268,18.4
Microtus townsendii,,52.2,0.504,6.2
Gerbillus perpallidus,,52.4,0.243,17.5
Elephantulus rufescens,37.3,53,0.317,23.0
Microtus breweri,37.3,53.1,0.412,
Melonycteris melanops,34.9,53.3,0.242,8.1
Phyllotis xanthopygus,37.3,55,0.316,8.2
Acomys russatus,37.3,55.55,0.239,19.5
Eumops perotis,32.6,56,0.222,21.0
Golunda ellioti,,56.2,0.339,23.1
Sekeetamys calurus,37.5,56.9,0.248,19.7
Tamias amoenus,37.0,57.1,0.537,4.9
Dipodomys microps,35.0,57.2,0.373,8.8
Ptilocerus lowii,36.5,57.5,0.240,20.3
Hylomys suillus,37.3,57.8,0.335,20.3
Phyllotis darwini,36.2,59,0.398,7.1
Dicrostonyx groenlandicus,38.4,59.62,0.551,-11.0
Cryptomys darlingi,33.3,60,0.317,
Funisciurus isabella,,60,0.570,23.0
Dipodomys agilis,37.0,60.6,0.355,11.9
Noctilio leporinus,34.5,61,0.400,22.1
Scapanus latimanus,,61,0.425,9.8
Scapanus orarius,,61.2,0.358,6.9
Saccostomus campestris,35.3,61.3,0.287,20.3
Chelemys macronyx,36.8,62,0.454,5.3
Loxodontomys micropus,37.4,62.3,0.546,
Phyllotis magister,,62.8,0.385,6.1
Elephantulus myurus,36.9,62.97,0.370,19.2
Funisciurus anerythrus,,63,0.580,23.9
Dipodomys heermanni,,63.3,0.408,12.3
Galago demidoff,,63.8,0.329,
Artibeus fimbriatus,,63.9,0.435,20.4
Micaelamys namaquensis,36.8,64.2,0.317,
Dipodomys panamintinus,36.9,64.2,0.414,9.8
Glaucomys volans,39.0,64.25,0.377,12.9
Euneomys chinchilloides,,65.4,0.471,3.9
Microtus richardsoni,38.7,65.65,0.714,3.5
Peromyscus megalops,,66.2,0.506,19.2
Antechinus swainsonii,36.0,66.9,0.351,11.5
Meriones unguiculatus,38.2,67,0.430,0.3
Millardia meltada,,67.4,0.327,23.6
Graphiurus ocularis,,67.8,0.370,15.7
Microtus xanthognathus,38.0,68.5,0.550,-6.7
Meriones hurrianae,36.1,69,0.304,22.9
Heteromys anomalus,36.0,69.3,0.561,20.2
Graomys griseoflavus,36.1,69.4,0.469,17.4
Tamias palmeri,,69.4,0.631,14.2
Cercartetus nanus,35.6,70,0.336,11.1
Amblysomus hottentotus,,70,0.473,14.8
Artibeus lituratus,37.3,70.1,0.602,22.6
Tympanoctomys barrerae,35.7,71.4,0.430,14.6
Desmodillus auricularis,35.9,71.93,0.490,17.8
Dobsonia minor,36.5,73.7,0.415,20.0
Cryptomys hottentotus,34.4,75,0.377,19.2
Tamias merriami,37.0,75,0.440,10.1
Jaculus jaculus,37.5,75,0.515,23.3
Mustela erminea,39.6,75,0.930,-2.7
Monodelphis brevicaudata,33.7,75.5,0.318,24.4
Heteromys desmarestianus,33.8,75.8,0.553,20.8
Rattus fuscipes,37.5,76,0.471,12.7
Auliscomys boliviensis,36.3,76.8,0.617,7.0
Limnogale mergulus,,77.7,0.312,17.9
Reithrodon auritus,38.0,78.7,0.428,12.4
Cryptomys amatus,35.0,79.5,0.299,
Pseudomys gracilicaudatus,36.8,79.8,0.467,16.1
Lemmus lemmus,37.8,80,1.071,-1.4
Oxymycterus roberti,38.3,83.5,0.508,20.4
Stochomys longicaudatus,,84.2,0.544,23.7
Phyllostomus hastatus,34.7,84.2,0.559,23.0
Thomomys umbrinus,34.6,85,0.403,16.0
Parotomys brantsii,39.1,86.5,0.468,17.4
Tatera indica,,87,0.422,22.0
Tamias striatus,38.2,87.4,0.502,8.0
Heliophobius argenteocinereus,35.1,88,0.420,21.7
Rousettus amplexicaudatus,36.5,91.5,0.582,16.4
Arvicola amphibius,37.5,92,0.595,
Mystromys albicaudatus,33.0,93.78,0.707,14.5
Cryptomys bocagei,33.7,94,0.388,20.7
Funisciurus lemniscatus,,95,0.500,23.2
Ammospermophilus leucurus,37.5,95.7,0.524,9.7
Myotomys unisulcatus,34.8,96,0.595,
Chrotopterus auritus,37.2,96.1,0.788,22.5
Mesocricetus auratus,38.1,98,0.820,10.4
Dasycercus cristicauda,36.9,101,0.285,22.6
Otomys irroratus,37.6,102,0.474,15.4
Monodelphis domestica,32.6,104,0.335,21.9
Dipodomys deserti,36.8,106,0.514,15.0
Gerbilliscus afra,34.0,106.5,1.016,
Thomomys talpoides,36.2,106.8,0.792,4.8
Gerbillus pyramidum,36.1,108.5,0.454,23.2
Rattus lutreolus,36.7,109,0.353,11.3
Ochotona princeps,40.1,109,0.932,4.3
Neotoma lepida,36.8,110,0.485,10.6
Megadontomys thomasi,37.8,110.8,0.692,20.9
Meriones tristrami,36.5,112,0.550,13.2
Aconaemys fuscus,37.3,112,0.675,5.9
Funisciurus congicus,39.3,112.3,0.533,22.9
Cynomys ludovicanus,36.7,112.3,2.278,10.9
Tarsius syrichta,33.8,113,0.430,12.5
Myotomys sloggetti,38.0,113.29,0.746,
Sigmodon ochrognathus,,115.1,0.860,16.0
Echinops telfairi,,116.4,0.750,19.4
Callithrix pygmaea,,116.8,0.631,25.6
Rattus rattus,,117,0.770,
Dasyuroides byrnei,35.2,118.2,0.462,
Octomys mimax,36.7,118.6,0.642,6.0
Ctenomys talarum,36.1,121,0.611,13.5
Marmosa robinsoni,34.0,122,0.547,19.3
Tupaia glis,37.0,123,0.522,18.3
Thallomys nigricauda,,124.7,0.382,20.4
Petaurus breviceps,36.4,127,0.502,17.4
Ochotona dauurica,,127.7,1.389,-0.2
Spalax ehrenbergi,36.0,128,0.614,
Sigmodon leucotis,,128.6,1.040,15.6
Scapanus townsendii,,130.1,0.607,6.9
Thallomys paedulcus,36.7,132.4,0.487,21.7
Hemicentetes nigriceps,,133,0.358,
Spalacopus cyanus,36.5,135,0.596,6.4
Sigmodon alleni,,137.8,1.134,17.7
Sigmodon fulviventer,,137.8,1.157,14.8
Isthmomys pirrensis,37.6,137.9,0.677,21.6
Cryptomys damarensis,35.2,138,0.439,21.1
Jaculus orientalis,37.0,139,0.775,20.1
Sigmodon hispidus,38.1,139.3,1.285,17.3
Thomomys bottae,36.0,143,0.670,13.1
Rousettus aegyptiacus,34.8,146,0.684,21.1
Macroderma gigas,37.0,148,0.776,22.2
Octodontomys gliroides,37.2,152,0.729,4.0
Phascogale tapoatafa,37.4,157,0.710,17.3
Gerbilliscus leucogaster,35.1,157.62,0.740,
Dipus sagitta,36.8,160,0.676,5.7
Rattus colletti,,165.7,0.686,19.6
Gymnobelideus leadbeateri,,166,0.574,11.7
Spermophilus tereticaudus,36.3,167,0.522,16.9
Galago moholi,,170,0.285,21.1
Rattus norvegicus,37.2,170,0.960,
Galago senegalensis,37.9,171.5,0.764,24.5
Geomys pinetis,36.3,173,0.743,17.4
Tarsius spectrum,,173,0.831,9.4
Octodon lunatus,,173.2,0.957,8.4
Spermophilus spilosoma,36.1,174,0.514,14.2
Octodon bridgesi,,176.1,1.023,7.4
Dobsonia praedatrix,37.1,179.5,0.795,8.2
Neotoma albigula,,183,0.750,15.6
Rattus sordidus,39.0,187,0.595,19.8
Neotoma fuscipes,36.6,187,0.824,9.8
Callithrix jacchus,,190,0.848,23.2
Tachyoryctes splendens,35.9,191,0.842,18.6
Octodon degus,37.6,193,0.949,5.0
Pteropus pumilus,36.1,194.2,0.705,13.8
Georychus capensis,36.4,195,0.645,13.3
Geomys bursarius,35.0,197,0.769,12.4
Glis glis,37.7,200,0.881,
Spalax leucodon,36.3,201,0.830,
Neotoma cinerea,,205.1,0.941,3.3
Spermophilus tridecemlineatus,35.7,205.4,0.783,7.9
Arctocebus calabarensis,,206,0.731,22.9
Petrodromus tetradactylus,37.5,206.1,1.001,21.8
Conilurus penicillatus,,213.2,0.908,20.5
Ctenomys opimus,36.0,214,0.591,1.6
Ctenomys maulinus,36.2,215,1.044,6.1
Paraxerus cepapi,,223.6,0.811,21.4
Saguinus geoffroyi,,225,1.305,18.3
Mustela frenata,39.0,225,1.344,12.4
Tamiasciurus hudsonicus,39.4,228.3,1.420,0.1
Spermophilus townsendii,35.6,229,0.587,9.9
Heliosciurus rufobrachium,,230,0.744,23.5
Spermophilus lateralis,36.3,237,0.800,5.7
Spermophilus mohavensis,37.0,240,0.629,11.5
Cyclopes didactylus,33.0,240,0.636,23.6
Spermophilus citellus,37.5,240,1.272,8.5
Dobsonia anderseni,36.4,241.4,0.971,
Funisciurus pyrropus,,244,1.011,23.7
Rattus villosissimus,35.9,250.6,0.813,23.5
Spermophilus satutatus,,252.2,0.900,4.7
Pteropus rodricensis,36.5,254.5,0.753,
Microcavia niata,,255,0.980,3.3
Neofiber alleni,37.1,258.1,1.209,18.0
Urogale everetti,,260.6,1.250,13.1
Euoticus elegantulus,,261.5,1.205,23.4
Cryptomys mechowi,34.0,267,0.894,21.0
Spermophilus richardsoni,35.5,274,0.734,3.4
Loris tardigradus,35.5,284,0.714,22.3
Ctenomys fulvus,36.2,300,1.054,-2.0
Cheirogaleus medius,38.0,300,1.088,19.8
Spermophilus beldingi,35.5,303,0.710,7.0
Spermophilus armatus,35.7,320,0.889,3.1
Galea musteloides,37.3,322,1.473,12.2
Thrichomys apereoides,37.6,323,1.153,22.5
Caluromys derbianus,35.0,329,1.255,19.3
Metachirus nudicaudatus,35.0,336,1.144,23.7
Ctenomys australis,37.3,340,0.650,11.0
Cannomys badius,36.0,344,0.960,20.8
Cricetus cricetus,39.5,362,1.293,3.5
Pteropus scapulatus,37.0,362,1.353,20.5
Paraxerus palliatus,39.3,366.6,1.452,
Myrmecobius fasciatus,32.5,400,0.794,14.4
Hemiechinus auritus,33.8,400,0.848,9.7
